Autoencoder,LD,Hyperpar,Time,LOSS,VAL_LOSS,WMAPE,WMAPE_REAL
AE_C1,768,"f1=128,f2=64",0,N/A (pretrained),N/A (pretrained),0.3387,1.2258
AE_C2,3072,"f1=64,f2=32",260.9,0.000906,0.000889,0.3057,1.2280
