M2_arch,Training,Autoencoder,Hyperpar,Time,WMAPE
M2_DNN,synthetic,AE_C2,dH3,31.7,0.2618
M2_CNN,synthetic,AE_C2,cH4,988.7,0.2695
M2_DNN,synthetic+real,AE_S4,dH1,2.1,0.3658
M2_CNN,synthetic+real,AE_C3,cH5,451.0,0.3036
